train_loss,val_loss,lr,epoch
0.18420654264235697,0.18420654264235697,0.001,0
0.0771275469954288,0.0771275469954288,0.0009972609476841367,1
0.07237587299489334,0.07237587299489334,0.0009890738003669028,2
0.08552954301350416,0.08552954301350416,0.0009755282581475768,3
0.06359275652167654,0.06359275652167654,0.0009567727288213003,4
0.06308293967919458,0.06308293967919458,0.0009330127018922195,5
0.06252915005776312,0.06252915005776312,0.0009045084971874739,6
0.05907864032645028,0.05907864032645028,0.0008715724127386972,7
0.06049682042832705,0.06049682042832705,0.0008345653031794292,8
0.05807761800572852,0.05807761800572852,0.0007938926261462366,9
0.05591280134456209,0.05591280134456209,0.00075,10
0.06876796000513348,0.06876796000513348,0.0007033683215379003,11
0.05474246651790931,0.05474246651790931,0.0006545084971874739,12
0.05217606240214603,0.05217606240214603,0.0006039558454088797,13
0.05424568278435881,0.05424568278435881,0.0005522642316338269,14
0.049247269175462176,0.049247269175462176,0.0005000000000000002,15
0.050748935011439344,0.050748935011439344,0.0004477357683661734,16
0.050934514483747674,0.050934514483747674,0.00039604415459112036,17
0.04484398134972665,0.04484398134972665,0.0003454915028125264,18
0.04351318306329113,0.04351318306329113,0.0002966316784621,19
0.04514277686736249,0.04514277686736249,0.00025000000000000017,20
0.04389164533420456,0.04389164533420456,0.00020610737385376354,21
0.03954322066273923,0.03954322066273923,0.00016543469682057108,22
0.039273799624395866,0.039273799624395866,0.00012842758726130298,23
0.03797147495270085,0.03797147495270085,9.549150281252637e-05,24
0.036085164158637516,0.036085164158637516,6.698729810778068e-05,25
0.03520692018555033,0.03520692018555033,4.322727117869953e-05,26
0.03274997215784742,0.03274997215784742,2.447174185242324e-05,27
0.03274990938266811,0.03274990938266811,1.092619963309716e-05,28
0.032894485956628465,0.032894485956628465,2.7390523158633003e-06,29
